id, type, value, date, notes,
1, expense, 500,
2, deposit, 1000,
3, expense, 500,
4, expense, 500,
5, expense, 700,
6, expense, 700,
7, deposit, 150.5,
8, expense, 700,
9, deposit, 150.5,
10, expense, 700,
11, deposit, 150.5,
12, deposit, 132,
13, expense, 123,
14, expense, 555,
15, deposit, 3000,
16, expense, 150,
17, deposit, 1000,
18, expense, 150,
19, expense, 123,
20, expense, 123, undefined, undefined,
21, expense, 123, 2023-04-13, april 13th,
22, expense, 123, 2023-04-13, thisisatest,
23, expense, 123, , ,
24, expense, 123.12, , ,
25, expense, 11, , ,
26, expense, 123.32, 2023-04-19, this is a note,
27, deposit, 123.23, 2023-04-11, hello world,
